item_name,station,day_served,meal_time,calories,contains_eggs,contains_fish,contains_milk,contains_peanuts,contains_shellfish,contains_soy,contains_treenuts,contains_wheat,is_gluten_free,is_halal,is_kosher,is_locally_grown,is_organic,is_vegan,is_vegetarian
chicken & hummus ciabatta,green st. lto,friday,dinner,230,,,,,,,,,,,,False,False,False,False
avocado ranch crispy chicken sandwich,ignite lto,friday,dinner,510,True,False,True,False,False,False,False,True,False,False,,False,False,False,False
penne,uc veg hot,friday,dinner,100,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
eggplant parmesan,uc veg hot,friday,dinner,430,,,,,,,,,,,,False,False,True,True
hearty grain & tomato salad,vespa lto,friday,dinner,250,False,False,False,False,False,False,False,True,False,False,,False,False,False,True
boom boom chicken flatbread,vespa pizza,friday,dinner,480,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
three cheese bruschetta flatbread,vespa pizza,friday,dinner,470,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
crunchy s'mores bar,dtg,saturday,dinner,270,,,,,,,,,,,,False,False,False,False
oatmeal raisin cookie,dtg,saturday,dinner,120,True,False,True,False,False,True,True,True,False,,True,False,False,False,True
roast pork panini,green st. lto,saturday,dinner,430,,,,,,,,,,,,False,False,False,False
korean bbq tofu,uc veg hot,saturday,dinner,110,False,False,False,False,False,True,False,True,False,False,,False,False,True,True
seasoned rice,uc veg hot,saturday,dinner,130,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
chicken tikka masala burrito,vespa lto,saturday,dinner,450,False,False,True,False,False,False,False,True,False,False,,False,False,False,False
grilled vegetable stromboli,vespa pizza,saturday,dinner,250,,,,,,,,,,,,False,False,False,True
stromboli quattro formaggi,vespa pizza,saturday,dinner,260,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
dulce de leche brownie,dtg,sunday,dinner,230,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
spiced chocolate cupcake,dtg,sunday,dinner,160,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
california turkey bacon wrap,green st. lto,sunday,dinner,160,,,,,,,,,,,,False,False,False,False
crispy pork sandwich,ignite lto,sunday,dinner,670,True,False,True,False,False,False,False,True,False,False,,False,False,False,False
couscous,uc veg hot,sunday,dinner,100,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
vegetable balti,uc veg hot,sunday,dinner,100,False,False,False,False,False,False,False,False,True,,,False,False,True,True
cheesy shrimp alfredo,vespa lto,sunday,dinner,360,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
kielbasa mac & cheese,vespa pizza,sunday,dinner,290,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
loaded potato pizza,vespa pizza,sunday,dinner,340,,,,,,,,,,,,False,False,False,False
cheerios (r) cereal,dtg,monday,breakfast,70,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
bananas foster mini muffin,dtg,monday,breakfast,90,True,False,True,False,False,True,False,True,False,,,False,False,False,True
cinnamon streusel coffee cake,dtg,monday,breakfast,290,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
powdered sugar donut bites,dtg,monday,breakfast,210,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
